Valor,1,2,3,4,5
IBEX 35,8689.4,8689.4,8689.4,8689.4,8689.4
ABERTIS,14.35,14.43,14.43,14.43,14.43
ACCIONA,70.24,69.65,69.65,69.65,69.65
ACERINOX,10.235,10.285,10.285,10.285,10.285
ACS,28.075,28.265,28.265,28.265,28.265
AENA,122.75,123.75,123.75,123.75,123.75
AMADEUS,39.24,39.6,39.6,39.6,39.6
ARCELORMIT.,4.507,4.675,4.675,4.675,4.675
BA.POPULAR,2.085,2.092,2.092,2.092,2.092
BA.SABADELL,1.542,1.555,1.555,1.555,1.555
BA.SANTANDER,4,4.04,4.04,4.04,4.04
BANKIA,0.762,0.763,0.763,0.763,0.763
BANKINTER,6.316,6.32,6.32,6.32,6.32
BBVA,5.563,5.549,5.549,5.549,5.549
CAIXABANK,2.41,2.401,2.401,2.401,2.401
DIA,4.714,4.73,4.73,4.73,4.73
ENAGAS,26.575,26.615,26.615,26.615,26.615
ENDESA,18.2,18.23,18.23,18.23,18.23
FCC,7.575,7.58,7.58,7.58,7.58
FERROVIAL,18.06,18.2,18.2,18.2,18.2
GAMESA,17.415,17.335,17.335,17.335,17.335
GAS NATURAL,17.52,17.5,17.5,17.5,17.5
GRIFOLS CL.A,18.315,18.395,18.395,18.395,18.395
IAG,6.457,6.486,6.486,6.486,6.486
IBERDROLA,6.062,6.091,6.091,6.091,6.091
INDITEX,27.405,27.72,27.72,27.72,27.72
INDRA A,10.075,10.055,10.055,10.055,10.055
MAPFRE,2.147,2.178,2.178,2.178,2.178
MEDIASET,11.475,11.58,11.58,11.58,11.58
MERLIN,9.67,9.84,9.84,9.84,9.84
OHL,5.699,5.757,5.757,5.757,5.757
R.E.C.,77.96,78.31,78.31,78.31,78.31
REPSOL,11.19,11.305,11.305,11.305,11.305
SACYR,1.741,1.762,1.762,1.762,1.762
TEC.REUNIDAS,28.715,28.75,28.75,28.75,28.75
TELEFONICA,9.119,9.218,9.218,9.218,9.218
